,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,Kulzcinsky,Imbalance_Ratio
738,Carriageway_Hazards|None,"Special_Conditions_at_Site|None', 'Weather_Conditions|Fine without high winds",0.982690711958483,0.803449804093638,0.791211811856396,0.805148356678294,1.00211407430309,0.001669151848715,1.00871715811938,0.980502743658266,0.285213309278258
741,"Carriageway_Hazards|None', 'Pedestrian_Crossing-Human_Control|None within 50 metres","Special_Conditions_at_Site|None', 'Weather_Conditions|Fine without high winds",0.97811331626732,0.803449804093638,0.787520790475371,0.805142693978149,1.00210702632061,0.001655838139014,1.00868784403866,0.980502743658266,0.285213309278258
742,"Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters","Carriageway_Hazards|None', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",0.810612090704168,0.803016906524259,0.65230460995488,0.804706242893851,1.00210373698968,0.001369396486457,1.00865023231989,0.980502743658266,0.285213309278258
744,Carriageway_Hazards|None,"Special_Conditions_at_Site|None', 'Weather_Conditions|Fine without high winds', 'Pedestrian_Crossing-Human_Control|None within 50 metres",0.982690711958483,0.799703659932133,0.787520790475371,0.801392320993712,1.00211160851974,0.001659431540859,1.00850249632858,0.980502743658266,0.285213309278258
748,"Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters","Special_Conditions_at_Site|None', 'Accident_Severity|3', 'Pedestrian_Crossing-Human_Control|None within 50 metres",0.815663542307469,0.827819952829599,0.676400614729248,0.829264248854063,1.00174469825175,0.001178059611455,1.00845924778361,0.980502743658266,0.285213309278258
749,"Special_Conditions_at_Site|None', 'Accident_Severity|3', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Carriageway_Hazards|None', 'Pedestrian_Crossing-Human_Control|None within 50 metres",0.664241999295898,0.97811331626732,0.649817470099567,0.97828422591221,1.00017473399252,0.00011352536422,1.00787029945137,0.980502743658266,0.285213309278258
750,"Special_Conditions_at_Site|None', 'Accident_Severity|3', 'Pedestrian_Crossing-Human_Control|None within 50 metres","Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.827819952829599,0.815663542307469,0.676400614729248,0.817086629063748,1.00174469825175,0.001178059611455,1.0077801133345,0.980502743658266,0.285213309278258
751,"Carriageway_Hazards|None', 'Accident_Severity|3', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Pedestrian_Crossing-Human_Control|None within 50 metres",Special_Conditions_at_Site|None,0.692893350649236,0.976026735283504,0.676400614729248,0.976197295147176,1.00017474917183,0.000118179795426,1.0071655664651,0.980502743658266,0.285213309278258
752,"Special_Conditions_at_Site|None', 'Accident_Severity|3', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Pedestrian_Crossing-Human_Control|None within 50 metres",0.664241999295898,0.813981195047182,0.541488711957013,0.815197943717795,1.00149481176963,0.000808215569609,1.00658406456666,0.980502743658266,0.285213309278258
755,"Special_Conditions_at_Site|None', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",Carriageway_Hazards|None,0.797306921436808,0.982690711958483,0.783592373653075,0.982798910413296,1.00011010428154,8.62673769114197E-05,1.00629020936539,0.980502743658266,0.285213309278258
760,Carriageway_Hazards|None,"Special_Conditions_at_Site|None', 'Accident_Severity|3",0.982690711958483,0.831829216396602,0.818443935354943,0.832860151617593,1.00123935923465,0.001013090466299,1.00616809953443,0.980502743658266,0.285213309278258
767,Carriageway_Hazards|None,"Special_Conditions_at_Site|None', 'Accident_Severity|3', 'Pedestrian_Crossing-Human_Control|None within 50 metres",0.982690711958483,0.827819952829599,0.81450449397655,0.828851320221862,1.00124588370785,0.001013515156993,1.00602614868896,0.980502743658266,0.285213309278258
768,"Special_Conditions_at_Site|None', 'Accident_Severity|3', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.664241999295898,0.815663542307469,0.542525755200467,0.816759186825808,1.00134325547424,0.000727773105379,1.00597926029338,0.980502743658266,0.285213309278258
769,"Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Human_Control|None within 50 metres', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",Carriageway_Hazards|None,0.793842270940961,0.982690711958483,0.780182110967302,0.982792349974678,1.00010342828619,8.06845535904488E-05,1.00590655993385,0.980502743658266,0.285213309278258
770,"Carriageway_Hazards|None', 'Pedestrian_Crossing-Human_Control|None within 50 metres","Special_Conditions_at_Site|None', 'Accident_Severity|3",0.97811331626732,0.831829216396602,0.81450449397655,0.832730196420252,1.00108313101523,0.000881260558823,1.00538638776616,0.980502743658266,0.285213309278258
771,"Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters","Carriageway_Hazards|None', 'Accident_Severity|3', 'Pedestrian_Crossing-Human_Control|None within 50 metres",0.810612090704168,0.833759983654258,0.676400614729248,0.834431934196377,1.0008059280312,0.000544691233797,1.00405845498561,0.980502743658266,0.285213309278258
772,"Carriageway_Hazards|None', 'Accident_Severity|3', 'Pedestrian_Crossing-Human_Control|None within 50 metres","Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.833759983654258,0.810612090704168,0.676400614729248,0.811265385710495,1.0008059280312,0.000544691233797,1.00346144775184,0.980502743658266,0.285213309278258
773,"Carriageway_Hazards|None', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Human_Control|None within 50 metres",0.803016906524259,0.971477268467785,0.780182110967302,0.971563742467398,1.00008901289039,6.94400836641629E-05,1.00304097680625,0.980502743658266,0.285213309278258
774,Special_Conditions_at_Site|None,"Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.976026735283504,0.815663542307469,0.796453620794959,0.816016193002761,1.00043234823797,0.000344196506822,1.00191674855004,0.980502743658266,0.285213309278258
775,Special_Conditions_at_Site|None,"Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Pedestrian_Crossing-Human_Control|None within 50 metres",0.976026735283504,0.813981195047182,0.794813901818243,0.814336199087186,1.00043613297477,0.000346493434178,1.0019120799976,0.980502743658266,0.285213309278258
776,"Special_Conditions_at_Site|None', 'Weather_Conditions|Fine without high winds', 'Pedestrian_Crossing-Human_Control|None within 50 metres","Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.799703659932133,0.815663542307469,0.652383251788367,0.815781250574408,1.00014430982977,9.41317318756685E-05,1.00063895921184,0.980502743658266,0.285213309278258
777,"Carriageway_Hazards|None', 'Accident_Severity|3', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Pedestrian_Crossing-Human_Control|None within 50 metres",0.669306680366515,0.808946647763228,0.541488711957013,0.809029295300761,1.0001021668583,5.53165489864949E-05,1.00043277599914,0.980502743658266,0.285213309278258
778,"Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Human_Control|None within 50 metres","Carriageway_Hazards|None', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",0.971477268467785,0.803016906524259,0.780182110967302,0.80308838538014,1.00008901289039,6.94400836641629E-05,1.00036299969415,0.980502743658266,0.285213309278258
780,"Special_Conditions_at_Site|None', 'Weather_Conditions|Fine without high winds', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Pedestrian_Crossing-Human_Control|None within 50 metres",0.651193334700378,0.813981195047182,0.530060657107642,0.813983542002205,1.00000288330374,1.52832146838033E-06,1.00001261692137,0.980502743658266,0.285213309278258
781,"Special_Conditions_at_Site|None', 'Accident_Severity|3', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",Carriageway_Hazards|None,0.664241999295898,0.982690711958483,0.652743387287511,0.982689122306966,0.99999838234808,-1.05591330157306E-06,0.999908170368665,0.980502743658266,0.285213309278258
783,"Carriageway_Hazards|None', 'Accident_Severity|3', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.669306680366515,0.810612090704168,0.542525755200467,0.810578724394888,0.999958838130269,-2.23322937001891E-05,0.999823851311458,0.980502743658266,0.285213309278258
784,"Special_Conditions_at_Site|None', 'Accident_Severity|3', 'Pedestrian_Crossing-Human_Control|None within 50 metres', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",Carriageway_Hazards|None,0.661266839090724,0.982690711958483,0.649817470099567,0.982685705203514,0.999994905055163,-3.31080103277426E-06,0.999710831135293,0.980502743658266,0.285213309278258
785,"Special_Conditions_at_Site|None', 'Road_Type|Single carriageway', 'Pedestrian_Crossing-Human_Control|None within 50 metres","Carriageway_Hazards|None', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",0.732678768689379,0.803016906524259,0.588277662999899,0.802913484243872,0.999871207841894,-7.57753090485647E-05,0.999475244260169,0.980502743658266,0.285213309278258
787,Carriageway_Hazards|None,"Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.982690711958483,0.810612090704168,0.796453620794959,0.810482495766794,0.999840127060945,-0.000127351741274,0.999316184866942,0.980502743658266,0.285213309278258
789,Carriageway_Hazards|None,"Special_Conditions_at_Site|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Pedestrian_Crossing-Human_Control|None within 50 metres",0.982690711958483,0.808946647763228,0.794813901818243,0.808813894489951,0.999835893660424,-0.000130455408631,0.999305633257591,0.980502743658266,0.285213309278258
792,Special_Conditions_at_Site|None,"Carriageway_Hazards|None', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",0.976026735283504,0.803016906524259,0.783592373653075,0.802839046642987,0.999778510415127,-0.000173595999256,0.99909789500282,0.980502743658266,0.285213309278258
793,"Special_Conditions_at_Site|None', 'Weather_Conditions|Fine without high winds', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.651193334700378,0.815663542307469,0.531021998399234,0.815459818309664,0.999750235253584,-0.000132663709489,0.998896045316856,0.980502743658266,0.285213309278258
796,"Special_Conditions_at_Site|None', 'Road_Type|Single carriageway","Carriageway_Hazards|None', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",0.736270569065537,0.803016906524259,0.590942665693566,0.802616171991746,0.999500963766446,-0.000295049042297,0.997969770185552,0.980502743658266,0.285213309278258
801,"Special_Conditions_at_Site|None', 'Accident_Severity|3', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",Carriageway_Hazards|None,0.689868947426832,0.982690711958483,0.677883785009397,0.982626899700096,0.999935063741205,-4.40220955261195E-05,0.996326950441479,0.980502743658266,0.285213309278258
802,"Special_Conditions_at_Site|None', 'Accident_Severity|3', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Pedestrian_Crossing-Human_Control|None within 50 metres",Carriageway_Hazards|None,0.688360788152865,0.982690711958483,0.676400614729248,0.982625138402042,0.999933271419336,-4.51382649935272E-05,0.996225952300629,0.980502743658266,0.285213309278258
803,"Special_Conditions_at_Site|None', 'Accident_Severity|3","Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.831829216396602,0.815663542307469,0.677883785009397,0.81493144463706,0.999102451400074,-0.000608980231502,0.996044181200999,0.980502743658266,0.285213309278258
